transaction_id,timestamp,amount,hour_of_day,day_of_week,is_weekend,merchant_category,device_type,location_country,new_device,transaction_count_1h,transaction_count_24h,time_since_last_transaction,is_unusual_amount,customer_age_bucket,account_age_days,is_home_location,device_risk_score,merchant_risk_score,account_risk_score,amount_log,amount_zscore,avg_transaction_amount_24h,location_change_distance,is_trusted_merchant,is_fraud
TXN00000000,2024-03-25 16:38:00,6.923167911669176,4,6,0,Restaurant,Web,Abroad,0,4,12,147,1,26-35,1540,1,0.7451265140226709,0.3815572430584928,0.6609731628952126,5.035789211843628,1.700517839709483,3743.0033917519772,164.22454695616707,1,1
TXN00000001,2024-04-01 14:52:00,464.5794635660657,10,4,0,Restaurant,Mobile App,India,0,6,45,676,0,26-35,168,1,0.18987971999660724,0.02197878807794873,0.6911211622357015,5.374496321934652,-0.12613354386685163,2372.8733387751736,673.3898959250918,1,0
TXN00000002,2024-09-11 01:18:00,37.452067916346195,4,2,0,Healthcare,Mobile App,India,0,5,11,874,1,26-35,3243,1,0.7227950573758689,0.7137016006346627,0.8187339808078199,5.355283705598366,0.8858108966006929,4699.650072440047,427.0112356684415,0,0
TXN00000003,2024-06-28 23:38:00,0.7103724490844064,5,6,0,Healthcare,Mobile App,India,0,6,44,1144,0,26-35,2276,1,0.3986808981397396,0.009170055513903597,0.9761652831552031,9.484555669293453,-0.993034194483119,3967.8750253654543,232.44564761950613,0,0
TXN00000004,2024-03-17 13:48:00,2.3507277721005497,7,2,0,Entertainment,USSD,India,0,4,14,274,0,18-25,3240,1,0.4776762883725356,0.343417171844176,0.5357927535396952,2.745386987275533,-1.0421880219817004,683.8465894266265,758.6747467671662,0,0
TXN00000005,2024-02-08 02:46:00,46.8545038421456,3,2,0,Healthcare,Mobile App,Abroad,0,1,3,1285,1,46-55,574,0,0.3763962659029336,0.26716905597173646,0.8150120543223576,3.3803955106003354,1.4084323936921959,894.4145067480803,374.5763296970258,0,1
TXN00000006,2024-04-05 08:57:00,6.387324078823196,15,6,0,Travel,Mobile App,India,0,4,32,72,0,46-55,1277,0,0.9105066863411475,0.9873416524996744,0.15170156260193401,5.062444235441012,0.34985690193419394,4744.941167746809,923.658746669127,0,0
TXN00000007,2024-12-28 02:30:00,8.741453608497244,17,1,1,Fuel,Web,India,0,6,35,1310,0,55+,390,1,0.658751153410325,0.618183563671053,0.16615761978164312,7.1461812966028315,0.4268309044472574,2647.160107640504,531.8821737775605,0,0
TXN00000008,2024-03-01 18:18:00,5939.259792929927,11,4,0,Entertainment,Mobile App,India,0,0,27,1288,0,18-25,3217,0,0.3118394343394797,0.1040891060010628,0.7669389222821151,4.897383535398416,-0.3967249784766945,796.4350713459207,68.93493179491306,1,0
TXN00000009,2024-05-01 16:03:00,224.76289067677476,22,6,0,Online Shopping,Web,India,1,4,43,164,0,36-45,2097,0,0.7690593706288784,0.9453836326782853,0.07244607653441859,5.695533216256821,-1.5241544100319968,3789.9945741312326,745.2397369783873,0,0
TXN00000010,2024-05-12 20:55:00,0.31515520538635833,3,5,1,ATM,Mobile App,India,0,3,20,1098,0,18-25,2401,0,0.36424957003138014,0.23145724329312656,0.7163255798292583,5.427202794307896,2.5579450465902034,2440.758146462388,957.9060505602946,0,0
TXN00000011,2024-07-12 04:07:00,29.117989456603016,21,1,0,Healthcare,Mobile App,India,0,6,5,637,0,36-45,1090,0,0.06978967853691376,0.8052423116711067,0.16434764980382965,3.6608555021368145,0.9994200683227569,1087.667321738386,723.1074474953572,1,0
TXN00000012,2024-01-29 12:50:00,45.650437249265266,15,6,0,Fuel,Mobile App,India,0,5,2,361,1,18-25,3481,1,0.33926322499205785,0.9963552695632758,0.24788885336474997,4.253856279537066,1.2481438349229717,1701.673855755848,19.854732436404788,0,0
TXN00000013,2024-08-16 17:25:00,8.240085981847889,3,6,1,Online Shopping,Mobile App,Abroad,0,6,27,340,1,26-35,446,1,0.033543047656211855,0.9808647761920253,0.26884590175030143,2.852119205205344,1.1196343540050264,710.5368271315484,697.8622886183737,1,1
TXN00000014,2024-02-15 00:20:00,158.9790783839929,10,1,0,ATM,Mobile App,India,0,3,37,1062,0,26-35,2185,1,0.12105464908577523,0.7862390885760566,0.8554749858387127,4.765920374563373,-0.6887926337164154,3362.753413622206,987.9796740199414,1,0
TXN00000015,2024-08-11 12:39:00,0.9205548892373007,21,6,1,Grocery,Web,India,0,4,47,210,0,26-35,3187,1,0.04658735360872823,0.9997626539979572,0.17315294151752125,6.561521494885631,0.4187575703664782,3734.2865568147104,965.2640613240258,1,0
TXN00000016,2024-08-15 03:09:00,489.7494410565245,23,1,0,Online Shopping,Web,India,0,7,11,295,0,26-35,1345,0,0.3876420686251092,0.18288045766223027,0.15933571782209366,3.8965788165539754,0.3308119437419485,182.26518473273478,664.6548255031065,0,0
TXN00000017,2024-05-18 05:21:00,975.6071190806393,21,6,1,Entertainment,Mobile App,India,0,2,30,1398,0,18-25,2974,0,0.978177049961238,0.7614745560781981,0.062109679993627265,0.4860416728229837,-0.4030193641891537,3370.572504524951,418.1009733094808,1,0
TXN00000018,2024-03-12 18:35:00,6034.028590336351,6,5,0,Entertainment,Mobile App,India,0,3,44,1006,0,18-25,1479,0,0.869667115263512,0.6115681682649193,0.9859848457338601,0.9560269940457704,0.237353388186394,1645.800541150404,307.7620176506184,0,0
TXN00000019,2024-06-12 17:56:00,2.3427875745261924,23,6,1,Restaurant,USSD,India,0,9,40,299,0,46-55,1444,0,0.8350320479655231,0.7430756342487044,0.5458324875023596,7.7681065011169546,0.14361169013459182,4714.505215768099,846.4285906415706,0,0
